Station,Name,Longitude,Latitude,dS2Ss
1,CHBH10,140.245,35.5425,0.038510833
2,CHBH11,140.1562,35.2834,-0.629073198
3,CHBH12,139.8586,35.3412,-0.305645056
4,CHBH13,140.3013,35.8275,0.450437201
5,CHBH14,140.8263,35.7309,-0.756272498
6,CHBH15,139.7917,34.9558,-0.434162955
7,CHBH16,139.9681,35.1351,-0.892717993
8,CHBH17,140.3431,35.1681,-0.170333803
9,CHBH20,140.1029,35.0848,-2.287167431
10,GNMH05,139.1879,36.3111,-0.129662307
11,GNMH07,139.2136,36.6967,-0.093604024
12,GNMH08,138.5275,36.4886,-0.319708035
13,GNMH09,138.91,36.6181,-1.121139699
14,GNMH10,138.7322,36.2325,-0.275411274
15,GNMH11,138.9242,36.2831,-0.416584687
16,GNMH12,138.9161,36.1409,0.341633582
17,GNMH13,139.0659,36.8589,0.583532461
18,GNMH14,139.3251,36.4899,0.214058432
19,IBRH07,140.3334,35.9489,-0.922979475
20,IBRH10,139.9919,36.1078,0.239068754
21,IBRH11,140.1434,36.3669,1.049339933
22,IBRH12,140.3215,36.8338,0.588684199
23,IBRH13,140.5784,36.7924,0.429258774
24,IBRH14,140.5518,36.689,-0.224575244
25,IBRH15,140.3046,36.5535,1.127784064
26,IBRH16,140.4009,36.6374,0.780254535
27,IBRH17,140.3173,36.0832,1.333734032
28,IBRH18,140.6231,36.3599,0.484265747
29,IBRH19,140.0926,36.2106,-0.520999279
30,IBRH20,140.7356,35.8252,-0.332259803
31,KNGH10,139.5227,35.4959,0.21236697
32,KNGH11,139.3571,35.4007,-0.864247642
33,KNGH18,139.1315,35.6404,0.31424286
34,KNGH19,139.0468,35.414,-0.55978154
35,KNGH20,139.1291,35.3631,-0.20655051
36,KNGH21,139.2177,35.4595,-0.480138715
37,KNGH22,139.0942,35.3551,-0.606799303
38,SITH03,139.3875,35.8958,-0.575117561
39,SITH04,139.5385,35.7996,-0.627131169
40,SITH05,139.0536,36.1478,0.24151954
41,SITH06,139.2926,36.11,1.035884361
42,SITH07,139.1517,35.9086,0.168750313
43,SITH08,138.9722,36.0243,0.014082048
44,SITH09,139.1024,36.0683,-0.507143652
45,SITH10,139.2223,35.9933,0.260012329
46,SITH11,139.2758,35.8605,0.564302395
47,TCGH06,139.9541,36.4427,0.070624871
48,TCGH07,139.4567,36.8786,0.526103655
49,TCGH08,139.6492,36.8797,0.015907029
50,TCGH09,139.8397,36.8594,-0.061062336
51,TCGH10,140.0258,36.8547,0.658708795
52,TCGH11,139.7733,36.7042,0.65968944
53,TCGH12,139.9875,36.6928,0.857013535
54,TCGH13,140.1814,36.7311,0.485161568
55,TCGH14,139.6186,36.5478,1.098490689
56,TCGH15,139.8669,36.5564,0.266883821
57,TCGH16,140.0784,36.5449,0.350913368
58,TCGH17,139.6955,36.9823,-0.50729552
59,TKYH12,139.2682,35.6669,-0.119727893
60,TKYH13,139.1306,35.6984,0.61498578
