Station,Name,longitude,latitude,dS2S
1,CHBH10,431562.1486,3933469.078,0.141139562
2,CHBH11,423267.3414,3904798.167,-0.404861193
3,CHBH12,396277.267,3911479.575,0.006551266
4,CHBH13,436890.4796,3965041.204,0.375623238
5,CHBH14,484291.8114,3954115.905,-0.55089974
6,CHBH15,389678.5356,3868808.02,-0.380668456
7,CHBH16,405990.7162,3888512.538,-0.336692944
8,CHBH17,440179.1909,3891882.496,-0.502391677
9,CHBH20,418221.5415,3882815.135,-1.613013351
10,GNMH05,337315.4278,4019978.61,-0.211057771
11,GNMH07,340416.6063,4062714.105,-0.10720311
12,GNMH08,278521.8522,4040986.318,-0.344230377
13,GNMH09,313102.0729,4054542.107,-1.152426948
14,GNMH10,296194.0345,4012121.308,-0.140815907
15,GNMH11,313571.7068,4017348.12,-0.444421021
16,GNMH12,312505.0208,4001587.961,0.656359455
17,GNMH13,327584.6596,4080965.847,0.456759256
18,GNMH14,349978.0977,4039591.959,-0.090365801
19,IBRH07,439881.7667,3978486.053,-0.490424919
20,IBRH10,409264.7156,3996375.586,0.59959232
21,IBRH11,423155.0163,4024984.903,1.062050391
22,IBRH12,439498.1956,4076650.288,0.563757735
23,IBRH13,462385.8569,4071925.915,0.293366233
24,IBRH14,459958.9807,4060466.606,-0.020953849
25,IBRH15,437765.6912,4045567.475,0.569802864
26,IBRH16,446442.1053,4054816.301,0.732770692
27,IBRH17,438534.1182,3993392.293,0.814915433
28,IBRH18,466185.842,4023933.762,0.581398361
29,IBRH19,418435.1507,4007689.056,-0.27264087
30,IBRH20,476117.7529,3964593.115,-0.295228525
31,KNGH10,366007.3975,3929041.89,0.771442786
32,KNGH11,350810.3722,3918719.907,-0.168751794
33,KNGH18,330825.6239,3945672.462,0.207784766
34,KNGH19,322658.2478,3920707.696,-0.549705579
35,KNGH20,330024.8109,3914917.142,-0.243246011
36,KNGH21,338267.9903,3925461.39,-0.624907358
37,KNGH22,326836.5994,3914090.266,-0.52534616
38,SITH03,354472.2086,3973592.103,-0.493392197
39,SITH04,367941.4684,3962706.88,-0.635521898
40,SITH05,324893.1803,4002096.67,0.071960685
41,SITH06,346323.0773,3997498.851,0.616389943
42,SITH07,333215.9987,3975389.002,-0.116929174
43,SITH08,317283.4307,3988545.761,0.069072082
44,SITH09,329111.7485,3993190.395,-0.597351633
45,SITH10,339758.5524,3984666.529,0.10066634
46,SITH11,344321.2976,3969848.506,0.817809437
47,TCGH06,406263.6361,4033560.419,-0.02264606
48,TCGH07,362460.5398,4082517.006,0.494742606
49,TCGH08,379618.8984,4082378.949,-0.155593648
50,TCGH09,396569.2908,4079903.611,-0.246768847
51,TCGH10,413153.6738,4079196.829,0.496015954
52,TCGH11,390429.3025,4062760.25,0.694303291
53,TCGH12,409549.2483,4061272.128,0.401179815
54,TCGH13,426907.7957,4065355.382,0.785011319
55,TCGH14,376360.9247,4045597.929,0.722871527
56,TCGH15,398596.6344,4046261.483,0.171473665
57,TCGH16,417512.5013,4044783.63,0.914369816
58,TCGH17,383901.0243,4093704.003,-0.296832226
59,TKYH12,343255.5424,3948385.276,0.072373093
60,TKYH13,330866.5762,3952107.81,-0.056193093
