Grid,longitude,latitude
1,253371.0321,3854624.13
2,257183.5335,3854522.455
3,260995.99,3854422.366
4,264808.402,3854323.865
5,268620.7705,3854226.951
6,272433.0959,3854131.623
7,276245.3792,3854037.881
8,280057.6209,3853945.726
9,283869.8218,3853855.157
10,287681.9826,3853766.174
11,291494.104,3853678.776
12,295306.1866,3853592.964
13,299118.2313,3853508.738
14,302930.2387,3853426.097
15,306742.2095,3853345.041
16,310554.1444,3853265.571
17,314366.0441,3853187.685
18,318177.9093,3853111.385
19,321989.7408,3853036.669
20,325801.5393,3852963.537
21,329613.3054,3852891.991
22,333425.0398,3852822.028
23,337236.7433,3852753.65
24,341048.4166,3852686.856
25,344860.0603,3852621.646
26,348671.6752,3852558.02
27,352483.2621,3852495.978
28,356294.8215,3852435.519
29,360106.3542,3852376.645
30,363917.861,3852319.353
31,367729.3424,3852263.646
32,371540.7993,3852209.521
33,375352.2323,3852156.98
34,379163.6422,3852106.022
35,382975.0296,3852056.647
36,386786.3953,3852008.855
37,390597.7399,3851962.646
38,394409.0642,3851918.02
39,398220.3689,3851874.977
40,402031.6546,3851833.516
41,405842.9222,3851793.638
42,409654.1723,3851755.343
43,413465.4055,3851718.63
44,417276.6227,3851683.5
45,421087.8246,3851649.952
46,424899.0117,3851617.987
47,428710.1849,3851587.604
48,432521.3449,3851558.803
49,436332.4923,3851531.584
50,440143.6279,3851505.948
51,443954.7523,3851481.893
52,447765.8663,3851459.421
53,451576.9707,3851438.531
54,455388.066,3851419.222
55,459199.153,3851401.496
56,463010.2325,3851385.352
57,466821.3051,3851370.789
58,470632.3715,3851357.809
59,474443.4324,3851346.41
60,478254.4886,3851336.594
61,482065.5408,3851328.359
62,485876.5896,3851321.706
63,489687.6358,3851316.635
64,493498.6801,3851313.145
65,497309.7232,3851311.238
66,501120.7657,3851310.912
67,504931.8085,3851312.168
68,508742.8522,3851315.006
69,253495.3259,3859246.279
70,257305.9022,3859144.549
71,261116.4337,3859044.407
72,264926.921,3858945.853
73,268737.3648,3858848.886
74,272547.7659,3858753.506
75,276358.125,3858659.714
76,280168.4427,3858567.509
77,283978.7198,3858476.891
78,287788.9569,3858387.859
79,291599.1548,3858300.415
80,295409.3142,3858214.556
81,299219.4357,3858130.285
