Grid,xgrid,ygrid,T0.01_dS2S,T0.01_dS2S_Uncertainty,T0.01_Phi,T0.01_Phi_Uncertainty
1,138.304028,34.8040278,0.2034,0.8992,0.1485,0.01727
2,138.345693,34.8040278,0.1912,0.8379,50.45,28.72
3,138.387358,34.8040278,0.1599,0.8739,48.82,28.63
4,138.429023,34.8040278,0.141,0.8452,49.57,29.49
5,138.470688,34.8040278,0.1208,0.828,51.36,28.42
6,138.512353,34.8040278,0.08826,0.7953,50.2,29.14
7,138.554018,34.8040278,0.06739,0.7772,50.09,29.36
8,138.595683,34.8040278,0.0375,0.7602,49.92,28.95
9,138.637348,34.8040278,0.009615,0.7495,50.32,28.47
10,138.679013,34.8040278,-0.02033,0.7017,48.5,28.32
11,138.720678,34.8040278,-0.06427,0.6841,51.12,28.4
12,138.762343,34.8040278,-0.09347,0.6556,48.67,29.35
13,138.804008,34.8040278,-0.133,0.685,49.69,28.52
14,138.845673,34.8040278,-0.1654,0.6566,49.85,29.47
15,138.887338,34.8040278,-0.2057,0.628,49.84,28.78
16,138.929003,34.8040278,-0.2227,0.641,49.66,29.16
17,138.970668,34.8040278,-0.2072,0.6914,52.11,29.02
18,139.012333,34.8040278,-0.2241,0.7463,50.1,28.29
19,139.053998,34.8040278,-0.2092,0.7525,49.14,29.01
20,139.095663,34.8040278,-0.2377,0.7679,50.16,28.64
21,139.137328,34.8040278,-0.221,0.7865,49.01,29.71
22,139.178993,34.8040278,-0.1857,0.7549,50.82,30.04
23,139.220658,34.8040278,-0.1672,0.7902,50.85,29.06
24,139.262323,34.8040278,-0.18,0.7956,51.66,28.53
25,139.303988,34.8040278,-0.1666,0.7825,49.51,29.07
26,139.345653,34.8040278,-0.2124,0.7408,50.74,29
27,139.387318,34.8040278,-0.231,0.7053,49.95,28.92
28,139.428983,34.8040278,-0.2653,0.6821,50.26,28.6
29,139.470648,34.8040278,-0.2773,0.6688,49.71,27.77
30,139.512313,34.8040278,-0.2626,0.6509,50.07,29.13
31,139.553978,34.8040278,-0.2752,0.6623,50.33,28.67
32,139.595643,34.8040278,-0.3127,0.7003,49.17,29.54
33,139.637308,34.8040278,-0.359,0.7026,50.82,28.91
34,139.678973,34.8040278,-0.3528,0.7057,49.41,28.2
35,139.720638,34.8040278,-0.3656,0.6709,50.84,28.97
36,139.762303,34.8040278,-0.3981,0.6565,50.07,28.84
37,139.803968,34.8040278,-0.4684,0.6809,49.26,28.85
38,139.845633,34.8040278,-0.5386,0.6669,49.85,29.05
39,139.887298,34.8040278,-0.5913,0.6587,50.36,28.79
40,139.928963,34.8040278,-0.6451,0.6635,48.96,28.87
41,139.970628,34.8040278,-0.6744,0.6834,50.06,28.81
42,140.012293,34.8040278,-0.6738,0.6497,51.22,28.82
43,140.053958,34.8040278,-0.6548,0.6646,49.44,28.6
44,140.095623,34.8040278,-0.6462,0.661,50.19,28.7
45,140.137288,34.8040278,-0.593,0.6963,49.17,28.4
46,140.178953,34.8040278,-0.5494,0.6945,49.73,28.8
47,140.220618,34.8040278,-0.4923,0.6949,50.86,28.34
48,140.262283,34.8040278,-0.4302,0.6721,49.58,28.9
49,140.303948,34.8040278,-0.3727,0.672,50.57,29.15
50,140.345613,34.8040278,-0.2775,0.6973,49.26,28.66
51,140.387278,34.8040278,-0.2164,0.6917,50.27,29.01
52,140.428943,34.8040278,-0.1503,0.71,49.78,28.95
53,140.470608,34.8040278,-0.08061,0.7071,50.17,29.02
54,140.512273,34.8040278,-0.02404,0.7197,49.34,28.88
55,140.553938,34.8040278,0.02269,0.7498,47.3,28.68
56,140.595603,34.8040278,0.07813,0.7192,49.19,29.03
57,140.637268,34.8040278,0.07632,0.7192,50.04,28.75
58,140.678933,34.8040278,0.06757,0.6966,48.35,29.39
59,140.720598,34.8040278,0.08776,0.6722,50.74,29.65
60,140.762263,34.8040278,0.09208,0.7147,50.1,28.86
61,140.803928,34.8040278,0.1116,0.6995,49.88,28.67
62,140.845593,34.8040278,0.09707,0.7047,51.93,29.18
63,140.887258,34.8040278,0.097,0.7184,49.57,28.9
64,140.928923,34.8040278,0.07669,0.7308,49.74,28.77
65,140.970588,34.8040278,0.07561,0.7213,47.97,28.28
66,141.012253,34.8040278,0.08634,0.7334,49.99,28.91
67,141.053918,34.8040278,0.09236,0.7622,49.8,29.05
68,141.095583,34.8040278,0.07656,0.8689,51.75,28.63
69,138.304028,34.8456928,0.231,0.8377,48.93,28.23
70,138.345693,34.8456928,0.2104,0.7943,50.4,28.74
71,138.387358,34.8456928,0.1679,0.8055,50.94,29.37
72,138.429023,34.8456928,0.1472,0.7771,49.58,28.55
73,138.470688,34.8456928,0.1338,0.7626,50.8,28.71
74,138.512353,34.8456928,0.1177,0.7431,51.27,29.16
75,138.554018,34.8456928,0.07115,0.7438,49.41,29.46
76,138.595683,34.8456928,0.04713,0.7041,49.9,28.8
77,138.637348,34.8456928,0.009364,0.6967,48.88,28.97
78,138.679013,34.8456928,-0.009693,0.6525,50.69,28.59
79,138.720678,34.8456928,-0.05842,0.6286,50.09,28.52
80,138.762343,34.8456928,-0.1225,0.5849,51.32,29
81,138.804008,34.8456928,-0.1508,0.6237,51.71,28.57
82,138.845673,34.8456928,-0.1887,0.5849,49.44,28.94
83,138.887338,34.8456928,-0.231,0.5648,48.36,28.57
84,138.929003,34.8456928,-0.2578,0.5809,50.97,29.06
85,138.970668,34.8456928,-0.2619,0.6228,49.89,29.47
86,139.012333,34.8456928,-0.2506,0.6861,50.13,29.51
87,139.053998,34.8456928,-0.2075,0.6946,50.38,28.87
88,139.095663,34.8456928,-0.2167,0.7123,48.73,28.85
89,139.137328,34.8456928,-0.2238,0.754,52.85,28.81
90,139.178993,34.8456928,-0.1656,0.7338,50.2,28.93
91,139.220658,34.8456928,-0.1381,0.7608,48.24,28.39
92,139.262323,34.8456928,-0.1675,0.7482,50.5,28.75
93,139.303988,34.8456928,-0.1731,0.7037,47.83,28.74
94,139.345653,34.8456928,-0.2044,0.6715,50.58,28.43
95,139.387318,34.8456928,-0.2135,0.6364,50.42,28.75
96,139.428983,34.8456928,-0.2375,0.6374,49.52,27.99
97,139.470648,34.8456928,-0.264,0.5953,48.6,29.24
98,139.512313,34.8456928,-0.2755,0.5923,49.05,28.49
99,139.553978,34.8456928,-0.2775,0.5804,49.65,29.09
100,139.595643,34.8456928,-0.3332,0.6255,50.38,29.09
101,139.637308,34.8456928,-0.3679,0.6255,49.51,28.47
102,139.678973,34.8456928,-0.3707,0.6114,48.57,28.66
103,139.720638,34.8456928,-0.4079,0.5723,49.45,28.7
