Grid,xgrid,ygrid,T0.1_dS2S,T0.1_dS2S_Uncertainty,T0.1_phi,T0.1_Phi_Uncertainty
1,138.304028,34.8040278,-0.9238,1.068,0.1349,0.01065
2,138.345693,34.8040278,-0.9022,0.9473,49.13,29.51
3,138.387358,34.8040278,-0.8921,0.8824,50.09,28.01
4,138.429023,34.8040278,-0.9177,0.8404,52.19,29.35
5,138.470688,34.8040278,-0.9011,0.8242,50.27,28.75
6,138.512353,34.8040278,-0.8717,0.7768,50.44,28.25
7,138.554018,34.8040278,-0.8485,0.7744,49.52,28.76
8,138.595683,34.8040278,-0.8454,0.7726,50.15,28.61
9,138.637348,34.8040278,-0.8284,0.737,50.18,28.84
10,138.679013,34.8040278,-0.783,0.6868,49.39,28.38
11,138.720678,34.8040278,-0.8094,0.6987,50.32,28.64
12,138.762343,34.8040278,-0.7925,0.7129,49.17,28.44
13,138.804008,34.8040278,-0.7585,0.7258,50.77,28.37
14,138.845673,34.8040278,-0.7646,0.7262,48.84,28.81
15,138.887338,34.8040278,-0.7508,0.7745,49.47,28.35
16,138.929003,34.8040278,-0.7707,0.8138,50.83,28.44
17,138.970668,34.8040278,-0.7327,0.8162,50.01,29.07
18,139.012333,34.8040278,-0.6769,0.8104,51.16,28.53
19,139.053998,34.8040278,-0.6486,0.8096,50.46,28.5
20,139.095663,34.8040278,-0.6282,0.847,49.78,28.9
21,139.137328,34.8040278,-0.6266,0.8325,50.79,29.38
22,139.178993,34.8040278,-0.6753,0.7789,49.82,28.36
23,139.220658,34.8040278,-0.6818,0.7772,50.37,29.08
24,139.262323,34.8040278,-0.6466,0.7606,48.87,27.95
25,139.303988,34.8040278,-0.6187,0.708,49.69,29.33
26,139.345653,34.8040278,-0.611,0.6979,51.67,28.16
27,139.387318,34.8040278,-0.6374,0.6823,49.87,29.48
28,139.428983,34.8040278,-0.6635,0.6906,50.24,29.1
29,139.470648,34.8040278,-0.6941,0.7134,50.65,28.25
30,139.512313,34.8040278,-0.6678,0.7343,51.37,28.93
31,139.553978,34.8040278,-0.637,0.7631,51.04,28.93
32,139.595643,34.8040278,-0.6333,0.7313,50.47,28.8
33,139.637308,34.8040278,-0.617,0.7232,50.73,28.73
34,139.678973,34.8040278,-0.6554,0.7259,48.68,29.07
35,139.720638,34.8040278,-0.6884,0.7043,51.28,29.1
36,139.762303,34.8040278,-0.7482,0.6853,48.79,28.13
37,139.803968,34.8040278,-0.8019,0.7087,50.35,28.55
38,139.845633,34.8040278,-0.8671,0.6812,48.62,28.78
39,139.887298,34.8040278,-0.9053,0.6864,49.13,28.5
40,139.928963,34.8040278,-0.9841,0.714,49.43,28.68
41,139.970628,34.8040278,-1.032,0.7372,47.72,28.84
42,140.012293,34.8040278,-1.049,0.7391,49.85,28.83
43,140.053958,34.8040278,-1.031,0.7164,48.9,29.46
44,140.095623,34.8040278,-0.9901,0.7104,50.74,28.02
45,140.137288,34.8040278,-0.9932,0.7124,49.11,28.75
46,140.178953,34.8040278,-1.018,0.7181,49.9,28.6
47,140.220618,34.8040278,-1.021,0.7413,49.35,29.15
48,140.262283,34.8040278,-0.9781,0.734,50.5,28.49
49,140.303948,34.8040278,-0.9311,0.7422,50.33,28.45
50,140.345613,34.8040278,-0.9246,0.7352,49.67,28.78
51,140.387278,34.8040278,-0.8898,0.7281,48.69,28.42
52,140.428943,34.8040278,-0.8282,0.7474,50.71,29.02
53,140.470608,34.8040278,-0.8159,0.7512,50.83,27.96
54,140.512273,34.8040278,-0.7873,0.7523,48.04,28.9
55,140.553938,34.8040278,-0.7349,0.781,50.24,28.92
56,140.595603,34.8040278,-0.6998,0.7694,50.97,29.13
57,140.637268,34.8040278,-0.6897,0.7558,50.24,28.84
58,140.678933,34.8040278,-0.6377,0.7691,49.77,28.8
59,140.720598,34.8040278,-0.5988,0.7616,51.42,28.82
60,140.762263,34.8040278,-0.5167,0.7673,50.04,29.48
61,140.803928,34.8040278,-0.4776,0.7599,49.89,29.46
62,140.845593,34.8040278,-0.4363,0.7449,50.42,29.03
63,140.887258,34.8040278,-0.4207,0.7443,49.96,29.52
64,140.928923,34.8040278,-0.3869,0.772,50.74,29.12
65,140.970588,34.8040278,-0.38,0.7958,49.92,29.19
66,141.012253,34.8040278,-0.3951,0.8159,48.88,29.08
67,141.053918,34.8040278,-0.3436,0.8652,48.97,28.32
68,141.095583,34.8040278,-0.3063,0.9506,50.89,29.27
69,138.304028,34.8456928,-0.948,0.9775,50.19,28.66
70,138.345693,34.8456928,-0.9287,0.8987,49.85,28.96
71,138.387358,34.8456928,-0.8974,0.8432,51.52,28.72
72,138.429023,34.8456928,-0.8886,0.7896,48.99,27.97
73,138.470688,34.8456928,-0.8682,0.7465,49.17,29.81
74,138.512353,34.8456928,-0.8372,0.7158,48.98,29.18
75,138.554018,34.8456928,-0.845,0.6929,49.57,28.78
76,138.595683,34.8456928,-0.8415,0.6998,48.83,28.49
77,138.637348,34.8456928,-0.8367,0.6596,49.78,29.21
78,138.679013,34.8456928,-0.7916,0.6361,50.67,29.19
79,138.720678,34.8456928,-0.7635,0.626,50.45,29.28
80,138.762343,34.8456928,-0.7797,0.6334,49.33,28.69
81,138.804008,34.8456928,-0.767,0.6308,51.46,28.44
82,138.845673,34.8456928,-0.7386,0.6692,48.49,28.81
83,138.887338,34.8456928,-0.7406,0.7082,50.58,28.48
84,138.929003,34.8456928,-0.7358,0.7315,50.57,28.35
85,138.970668,34.8456928,-0.7159,0.7516,49.09,29.34
86,139.012333,34.8456928,-0.6829,0.7783,50.63,28.76
87,139.053998,34.8456928,-0.6492,0.7666,50.89,28.6
88,139.095663,34.8456928,-0.6363,0.7717,48.62,29.48
89,139.137328,34.8456928,-0.6305,0.7635,50.64,28.31
90,139.178993,34.8456928,-0.654,0.7158,48.85,27.94
91,139.220658,34.8456928,-0.658,0.7068,49.2,28.74
92,139.262323,34.8456928,-0.6349,0.711,49.65,28.57
93,139.303988,34.8456928,-0.63,0.6662,50.78,28.71
94,139.345653,34.8456928,-0.6016,0.6339,50.54,29.5
95,139.387318,34.8456928,-0.6381,0.6315,50.98,29
96,139.428983,34.8456928,-0.679,0.6101,51.45,28.11
97,139.470648,34.8456928,-0.6967,0.6397,48.53,28.87
98,139.512313,34.8456928,-0.6587,0.6475,50.25,28.84
99,139.553978,34.8456928,-0.6612,0.6556,48.81,28.5
100,139.595643,34.8456928,-0.6454,0.665,49.24,28.94
101,139.637308,34.8456928,-0.6173,0.6712,48.85,28.52
102,139.678973,34.8456928,-0.6272,0.6577,50.38,28.89
103,139.720638,34.8456928,-0.6563,0.6548,51.65,28.65
104,139.762303,34.8456928,-0.7132,0.6202,50.19,28.82
105,139.803968,34.8456928,-0.797,0.6057,49.88,28.76
