Grid,xgrid,ygrid,T1_dS2S,T1_dS2S_Uncertainty,T1_Phi,T1_Phi_Uncertainty
1,138.304028,34.8040278,0.08987,0.9026,1.351,0.1403
2,138.345693,34.8040278,0.1122,0.8128,48.98,29.3
3,138.387358,34.8040278,0.09752,0.8219,50.25,28.77
4,138.429023,34.8040278,0.1321,0.8182,49.17,29.2
5,138.470688,34.8040278,0.1152,0.8314,51.59,28.08
6,138.512353,34.8040278,0.1066,0.8102,49.63,29.03
7,138.554018,34.8040278,0.1091,0.7984,50.6,29.66
8,138.595683,34.8040278,0.1037,0.7778,49.16,28.54
9,138.637348,34.8040278,0.07363,0.781,50.09,29.2
10,138.679013,34.8040278,0.04502,0.7866,49.54,28.8
11,138.720678,34.8040278,0.0597,0.7641,49.65,28.68
12,138.762343,34.8040278,0.1005,0.7382,51.26,28.93
13,138.804008,34.8040278,0.1462,0.7346,49.32,28.76
14,138.845673,34.8040278,0.1838,0.7517,50.09,29
15,138.887338,34.8040278,0.1724,0.7421,49.06,29.05
16,138.929003,34.8040278,0.1914,0.7384,51.18,28.07
17,138.970668,34.8040278,0.2066,0.748,48.73,29.1
18,139.012333,34.8040278,0.2028,0.7442,50.24,28.71
19,139.053998,34.8040278,0.2003,0.7356,50.6,28.49
20,139.095663,34.8040278,0.1878,0.7379,50.31,28.06
21,139.137328,34.8040278,0.1701,0.7419,50.22,28.86
22,139.178993,34.8040278,0.1898,0.7342,49.98,29.03
23,139.220658,34.8040278,0.2611,0.7089,50.07,28.43
24,139.262323,34.8040278,0.3441,0.7223,50.05,28.55
25,139.303988,34.8040278,0.4216,0.713,50.88,28.92
26,139.345653,34.8040278,0.4581,0.7163,50.04,29.06
27,139.387318,34.8040278,0.4822,0.7376,50.11,29.16
28,139.428983,34.8040278,0.5086,0.7198,51.92,29.38
29,139.470648,34.8040278,0.4717,0.7088,49.2,29.7
30,139.512313,34.8040278,0.4398,0.7158,50.77,28.59
31,139.553978,34.8040278,0.4422,0.7376,49.76,28.96
32,139.595643,34.8040278,0.4204,0.756,49.45,28.41
33,139.637308,34.8040278,0.3798,0.8048,49.03,28.78
34,139.678973,34.8040278,0.3492,0.7907,50.8,28.15
35,139.720638,34.8040278,0.3493,0.7851,48.97,28.88
36,139.762303,34.8040278,0.31,0.7839,51.66,28.17
37,139.803968,34.8040278,0.3214,0.7524,50.07,28.9
38,139.845633,34.8040278,0.3577,0.7479,50,29.42
39,139.887298,34.8040278,0.3992,0.7381,51.24,28.19
40,139.928963,34.8040278,0.422,0.7244,49.92,29.45
41,139.970628,34.8040278,0.4543,0.6987,50.8,28.67
42,140.012293,34.8040278,0.4444,0.7294,50.17,29.18
43,140.053958,34.8040278,0.4386,0.7195,49.68,29.82
44,140.095623,34.8040278,0.4544,0.6824,50.42,27.94
45,140.137288,34.8040278,0.4485,0.6396,49.14,28.83
46,140.178953,34.8040278,0.4331,0.6429,48.93,28.7
47,140.220618,34.8040278,0.4105,0.6743,49.91,28.61
48,140.262283,34.8040278,0.3898,0.7023,50.9,28.72
49,140.303948,34.8040278,0.3485,0.7128,49.15,28.51
50,140.345613,34.8040278,0.3019,0.7228,50.81,29.49
51,140.387278,34.8040278,0.2936,0.7445,50.39,28.12
52,140.428943,34.8040278,0.2989,0.7521,49.66,29.03
53,140.470608,34.8040278,0.3299,0.7582,51.92,28.81
54,140.512273,34.8040278,0.3803,0.7351,48.75,29.05
55,140.553938,34.8040278,0.3779,0.7321,49.8,28.81
56,140.595603,34.8040278,0.3713,0.7171,48.79,28.81
57,140.637268,34.8040278,0.3245,0.7243,49.7,28.37
58,140.678933,34.8040278,0.3042,0.7127,49.58,28.41
59,140.720598,34.8040278,0.2573,0.704,49.76,29.16
60,140.762263,34.8040278,0.2416,0.6962,48.48,30
61,140.803928,34.8040278,0.2565,0.6918,49.88,28.94
62,140.845593,34.8040278,0.2293,0.7051,50.41,28.85
63,140.887258,34.8040278,0.2171,0.7193,50.94,28.46
64,140.928923,34.8040278,0.1796,0.7393,50.89,28.87
65,140.970588,34.8040278,0.1203,0.8013,49.94,28.64
66,141.012253,34.8040278,0.1212,0.8473,50.73,29.25
67,141.053918,34.8040278,0.1214,0.9255,50.55,29.45
68,141.095583,34.8040278,0.09651,1.013,49.93,28.88
69,138.304028,34.8456928,0.07117,0.8287,50.99,28.43
70,138.345693,34.8456928,0.09839,0.7538,51.29,28.74
71,138.387358,34.8456928,0.06578,0.7567,49.2,28.34
72,138.429023,34.8456928,0.0786,0.7391,49.64,29
73,138.470688,34.8456928,0.07563,0.7759,50.29,29.46
74,138.512353,34.8456928,0.05097,0.7689,49.47,28.68
75,138.554018,34.8456928,0.05256,0.7599,50.29,29.35
76,138.595683,34.8456928,0.06725,0.723,49.01,29.02
77,138.637348,34.8456928,0.06467,0.7033,49.64,29.26
78,138.679013,34.8456928,0.02571,0.6951,50.06,29.03
79,138.720678,34.8456928,0.03007,0.7185,48.03,28.98
80,138.762343,34.8456928,0.06953,0.6932,49.71,29.15
81,138.804008,34.8456928,0.1313,0.678,50.07,29.59
82,138.845673,34.8456928,0.1587,0.6779,49.11,29.53
83,138.887338,34.8456928,0.152,0.685,50.96,29.26
84,138.929003,34.8456928,0.1852,0.7077,51.87,29.03
85,138.970668,34.8456928,0.1866,0.701,50.5,28.32
86,139.012333,34.8456928,0.1912,0.6955,48.59,28.87
87,139.053998,34.8456928,0.166,0.6869,51.32,29.38
88,139.095663,34.8456928,0.1744,0.6665,49.19,28.41
89,139.137328,34.8456928,0.1715,0.6512,49.92,28.38
90,139.178993,34.8456928,0.1916,0.6278,51.07,29.46
91,139.220658,34.8456928,0.2582,0.6088,51.14,29.19
92,139.262323,34.8456928,0.3532,0.6348,49.28,28.88
93,139.303988,34.8456928,0.4147,0.6335,48.9,28.89
94,139.345653,34.8456928,0.4652,0.6254,51.28,28.91
95,139.387318,34.8456928,0.4789,0.6441,48.59,28.75
96,139.428983,34.8456928,0.4925,0.626,50.08,28.76
97,139.470648,34.8456928,0.453,0.628,51.51,29.09
98,139.512313,34.8456928,0.4221,0.6509,50.29,28.93
99,139.553978,34.8456928,0.4139,0.6873,48.98,29.08
100,139.595643,34.8456928,0.3976,0.7237,51.02,29.1
101,139.637308,34.8456928,0.3702,0.7545,49.49,28.49
102,139.678973,34.8456928,0.347,0.7372,50.58,28.72
103,139.720638,34.8456928,0.3528,0.7143,50.02,28.88
104,139.762303,34.8456928,0.3323,0.7113,51.03,29.02
105,139.803968,34.8456928,0.3356,0.6898,48.7,28.55
106,139.845633,34.8456928,0.3557,0.6674,48.86,29.01
107,139.887298,34.8456928,0.3827,0.6583,50.25,28.59
108,139.928963,34.8456928,0.4111,0.6443,51.49,28.94
109,139.970628,34.8456928,0.4459,0.6394,50.56,28.94
110,140.012293,34.8456928,0.4361,0.6525,49.59,28.72
111,140.053958,34.8456928,0.4214,0.6445,50.54,28.62
112,140.095623,34.8456928,0.416,0.6046,50.16,28.76
113,140.137288,34.8456928,0.4385,0.5955,50.05,29.04
114,140.178953,34.8456928,0.4428,0.5835,49.36,28.9
115,140.220618,34.8456928,0.4154,0.6078,50.79,28.54
116,140.262283,34.8456928,0.4154,0.6262,49.19,28.58
117,140.303948,34.8456928,0.3702,0.6406,49.18,28.71
118,140.345613,34.8456928,0.3311,0.6225,50,29.23
119,140.387278,34.8456928,0.2895,0.6378,50.78,28.67
